Local time,Open,High,Low,Close,Volume
04.01.2019 06:00:00.000 GMT-0500,27.978,27.978,27.978,27.978,0
04.01.2019 07:00:00.000 GMT-0500,27.978,27.978,27.978,27.978,0
04.01.2019 08:00:00.000 GMT-0500,27.978,27.978,27.978,27.978,0
04.01.2019 09:00:00.000 GMT-0500,28.268,29.158,28.267,28.947,35.8411
04.01.2019 10:00:00.000 GMT-0500,28.938,29.617,28.839,29.561,83.7888
04.01.2019 11:00:00.000 GMT-0500,29.561,29.800,29.438,29.780,75.9656
04.01.2019 12:00:00.000 GMT-0500,29.780,29.928,29.657,29.690,56.7119
04.01.2019 13:00:00.000 GMT-0500,29.690,30.078,29.690,29.851,59.2349
04.01.2019 14:00:00.000 GMT-0500,29.851,30.078,29.737,29.828,55.8923
04.01.2019 15:00:00.000 GMT-0500,29.828,30.037,29.747,29.918,64.2878
04.01.2019 16:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 17:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 18:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 19:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 20:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 21:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 22:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
04.01.2019 23:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 00:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 01:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 02:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 03:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 04:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 05:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 06:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 07:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 08:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 09:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 10:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 11:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 12:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 13:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 14:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 15:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 16:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 17:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 18:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 19:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 20:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 21:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 22:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
05.01.2019 23:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 00:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 01:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 02:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 03:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 04:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 05:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 06:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 07:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 08:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 09:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 10:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 11:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 12:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 13:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 14:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 15:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 16:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 17:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 18:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 19:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 20:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 21:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 22:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
06.01.2019 23:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 00:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 01:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 02:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 03:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 04:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 05:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 06:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 07:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 08:00:00.000 GMT-0500,29.918,29.918,29.918,29.918,0
07.01.2019 09:00:00.000 GMT-0500,30.157,30.537,29.737,30.308,36.5247
07.01.2019 10:00:00.000 GMT-0500,30.298,30.742,30.108,30.521,70.0283
07.01.2019 11:00:00.000 GMT-0500,30.521,31.067,30.409,31.038,68.2295
07.01.2019 12:00:00.000 GMT-0500,31.038,31.169,30.897,31.092,49.9896
07.01.2019 13:00:00.000 GMT-0500,31.092,31.208,30.858,30.908,49.5163
07.01.2019 14:00:00.000 GMT-0500,30.917,31.148,30.887,31.060,51.4133
07.01.2019 15:00:00.000 GMT-0500,31.057,31.348,31.057,31.308,60.8249
07.01.2019 16:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 17:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 18:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 19:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 20:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 21:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 22:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
07.01.2019 23:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 00:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 01:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 02:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 03:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 04:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 05:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 06:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 07:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 08:00:00.000 GMT-0500,31.308,31.308,31.308,31.308,0
08.01.2019 09:00:00.000 GMT-0500,31.658,32.018,31.337,31.407,42.0639
08.01.2019 10:00:00.000 GMT-0500,31.422,31.561,30.878,31.050,75.9444
08.01.2019 11:00:00.000 GMT-0500,31.050,31.318,30.987,31.258,64.1109
08.01.2019 12:00:00.000 GMT-0500,31.258,31.501,31.237,31.387,53.2511
08.01.2019 13:00:00.000 GMT-0500,31.387,31.669,31.307,31.588,52.2464
08.01.2019 14:00:00.000 GMT-0500,31.588,31.707,31.517,31.597,48.5894
08.01.2019 15:00:00.000 GMT-0500,31.609,31.787,31.497,31.787,53.9239
08.01.2019 16:00:00.000 GMT-0500,31.787,31.787,31.787,31.787,0
